DATA|ID|HIST\'ORICO|ENTRADA|SA\'IDA|SALDO|ENTRADA ($)|SA\'IDA ($)|BALANÇO
||In\'icio|||0|0|0|0
22/03/2020|da0320|Dalla |15||15|127.5|0|-127.5
21/03/2020|3391|Dalla |90||105|765|0|-892.5
06/03/2020|1|L'jaica ||45|60|0|225|-667.5
05/03/2020|2|L'jaica ||15|45|0|133.5|-534
17/03/2020|3705|Dalla |55||100|467.5|0|-1001.5
