DATA|ID|HIST\'ORICO|ENTRADA|SA\'IDA|SALDO|ENTRADA ($)|SA\'IDA ($)|BALANÇO
||In\'icio|||0|0|0|0
21/03/2020|im0320|RoletaRussa |24||24|230.4|0|-230.4
09/03/2020|13|Lucas||4|20|0|40|-190.4
