DATA|ID|HIST\'ORICO|ENTRADA|SA\'IDA|SALDO|ENTRADA ($)|SA\'IDA ($)|BALANÇO
||In\'icio|||0|0|0|0
21/03/2020|im0320|Imigraç\~ao |93||93|281.79|0|-281.79
07/03/2020|5|Carlos - ATF||2|91|0|7.8|-273.99
09/03/2020|14|\'Aureo ||31|60|0|465|191.01
