N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
0|2020/02/19|----|Kairós (estoque anterior)|20|0|20|216|0|-216
1|2020/02/21|18|Fabrício - amigo Rafa|0|3|17|0|45|-171
2|2020/02/27|26|Mestre Cervejeiro|0|6|11|0|90|-81
3|2020/02/29|27|Casa Gourmet|0|3|8|0|45|-36
4|2020/02/29|28|L'jaica (Bar)|0|4|4|0|60|24
5|2020/03/11|32|Posto Serra Azul|0|1|3|0|15|39
6|2020/03/11|34|Le Bateau|0|2|1|0|30|69
