N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
0|2020/02/12||Kairós|60|0|60|648|0|-648
1|2020/02/19|----|Kairós: (estoque anterior)|15|0|75|162|0|-810
2|2020/02/21|18|Fabrício - amigo Rafa|0|15|60|0|225|-585
3|2020/02/27|26|Mestre Cervejeiro|0|8|52|0|120|-465
4|2020/03/11|32|Posto Serra Azul|0|1|51|0|15|-450
5|2020/03/17|39|Jota|0|1|50|0|12|-438
