N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
2|21/03/2020|im0320|RoletaRussa|25||25|84.75|0|-84.75
3|09/03/2020|14|Áureo||1|24|0|15|-69.75
