N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
2|2020/03/06|da3391|Dalla|45|0|45|315|0|-315
3|2020/03/06|lj0320|Dalla|15|0|60|105|0|-420
4|2020/03/05|3|Le Bateau|0|15|45|0|180|-240
4|2020/03/30|15|L'jaica|0|45|0|0|540|300
5|2020/03/17|da3705|Dalla|45|0|45|315|0|-15
5|2020/04/10|17|?|0|15|30|0|120|105
