N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
2|21/03/2020|im0320|Imigração|93||93|281.79|0|-281.79
3|07/03/2020|5|Carlos - ATF||2|91|0|7.8|-273.99
4|09/03/2020|14|Áureo||31|60|0|465|191.01
