N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
0|2020/02/20|ka10378|Kairós |240|0|240|2592|0|-2592
1|2020/02/29|27|Casa Gourmet |0|3|237|0|45|-2547
2|2020/03/11|34|Le Bateau |0|1|236|0|15|-2532
