DATA|ID|HIST\'ORICO|ENTRADA|SA\'IDA|SALDO|ENTRADA ($)|SA\'IDA ($)|BALANÇO
||In\'icio|||0|0|0|0
12/02/2020||Kair\'os|60||60|648|0|-648
19/02/2020|----|Kair\'os (estoque anterior)|15||75|162|0|-810
21/02/2020|18|Fabr\'icio - amigo Rafa||15|60|0|225|-585
27/02/2020|26|Mestre Cervejeiro ||8|52|0|120|-465
11/03/2020|32|Posto Serra Azul||1|51|0|15|-450
17/03/2020|39|Jota||1|50|0|12|-438
