N|DATA|ID|HISTÓRICO|ENTRADA|SAÍDA|SALDO|ENTRADA ($)|SAÍDA ($)|BALANÇO
0|2020/02/19|la1000|Lassberg (5x30 + 1x50)|200|0|200|1300|0|-1300
1|2020/02/20|11|Ricardo - Motel Fantasia |0|30|170|0|360|-940
2|2020/02/20|20|L'jaica (Bar) |0|60|110|0|1320|380
3|2020/03/11|35|Zé da Costela |0|50|60|0|400|780
4|2020/03/17|37|Batalhão |0|30|30|0|0|780
5|2020/03/17|43|L'jaica (Bar) Turma de Medicina|0|30|0|0|360|1140
